name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
TAGSYS RFID Group,73884800.0,USA,King Of Prussia,4,2005-04-18,2010-03-25,2001,1,Software,1
Champion Medical Technologies,,USA,Lake Zurich,1,2013-08-19,2013-08-19,2012,0,Software,3
Codasystem,7623300.0,FRA,Boulogne,3,2005-01-01,2008-09-01,2012,1,Software,1
Wistar Institute,1100000.0,USA,Philadelphia,1,2015-03-13,2015-03-13,1972,1,Biotechnology,1
uiActive,3330000.0,SGP,Singapore,1,2007-12-13,2007-12-13,2012,0,Content,1
Bedbathmore.com,,IND,Mumbai,1,2013-05-29,2013-05-29,2010,1,E-Commerce,3
Shuttlerock,2850000.0,NZL,Christchurch,2,2011-06-01,2014-09-18,2011,1,Social Media Marketing,1
HelloSponsor,58000.0,USA,New York,1,2015-01-20,2015-01-20,2014,1,Advertising,0
Print Inc,11400000.0,USA,Kirkland,2,2004-03-24,2004-03-24,1999,2,Printing,1
Nicholson Hartung Consulting,,USA,San Francisco,1,2013-04-10,2013-04-10,2012,0,Software,3
American Life Media,,HKG,Kowloon City,1,2013-03-01,2013-03-01,2006,0,Curated Web,3
Cytonics,3304760.0,USA,Jupiter,2,2009-05-18,2011-03-04,2006,1,Biotechnology,1
Blink Booking,4400000.0,ESP,Madrid,1,2012-03-01,2012-03-01,2012,2,Apps,1
Sprout,8300000.0,USA,San Francisco,2,2007-05-31,2008-05-01,2008,2,Advertising,1
Formspring,14255000.0,USA,San Francisco,3,2010-01-15,2011-01-11,2009,2,Curated Web,1
MD-IT,11543305.0,USA,Boulder,3,2009-01-12,2010-03-26,2000,1,Electronic Health Records,1
HistoSonics,30172418.0,USA,Ann Arbor,4,2010-02-22,2015-09-03,2009,1,Biotechnology,1
Aloompa,500000.0,USA,Nashville,1,2013-06-14,2013-06-14,2009,1,Mobile,0
Gideros Mobile,,USA,San Francisco,1,2011-06-08,2011-06-08,2010,1,Android,3
EXO5,450000.0,USA,San Francisco,1,2007-01-01,2007-01-01,2006,1,Security,0
PromiseUP,210000.0,RUS,Moscow,1,2012-05-01,2012-05-01,2012,0,Mobile,0
Ruralco Holdings,25000000.0,AUS,Hobart Town,1,2013-12-17,2013-12-17,2012,0,Agriculture,1
Optoro,122900000.0,USA,Lanham,5,2011-01-21,2015-07-28,2004,1,Enterprise Software,2
Novalar Pharmaceuticals,31000999.0,USA,San Diego,2,2007-11-02,2010-07-16,2000,1,Biotechnology,1
Luxr,600000.0,USA,San Francisco,1,2013-01-22,2013-01-22,2010,1,Curated Web,0
StockStreams,79559.0,IRL,Dublin,1,2013-08-01,2013-08-01,2013,1,Finance,0
Cambridge Select,452015.0,USA,Charlestown,1,2014-05-09,2014-05-09,2012,1,Consumer Goods,0
YumDots,,USA,San Francisco,1,2008-01-01,2008-01-01,2012,0,Mobile,3
ePlug,,DEU,Munich,1,2014-11-28,2014-11-28,2014,1,Bitcoin,3
Mo Industries Holdings,,USA,Los Angeles,1,2006-05-04,2006-05-04,1992,2,Software,3
RealPage,86401577.0,USA,Carrollton,8,2003-12-30,2011-09-15,1995,2,Software,1
Spotivate,,USA,Cupertino,1,2012-05-01,2012-05-01,2011,2,Curated Web,3
Skataz,150000.0,USA,Minneapolis,1,2009-01-01,2009-01-01,2007,0,Hardware + Software,0
Software Artistry,,USA,Indianapolis,1,1994-11-15,1994-11-15,1988,2,Mechanical Solutions,3
Innovasic Semiconductor,6220000.0,USA,Albuquerque,1,2007-04-03,2007-04-03,1991,1,Semiconductors,1
Greysox,359624.0,KOR,Seoul,1,2011-11-01,2011-11-01,2007,1,Software,0
